State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
Rajasthan,Nagaur,18.6,32.2,,,,21.0,49.0,33.0,33.0,Good
Rajasthan,Kuchera,17.1,27.0,,,,20.0,53.0,33.0,29.0,Good
Rajasthan,Ajmer,18.3,28.0,,,,23.0,66.0,30.0,31.0,Good
Sikkim,Geyzing,11.6,16.6,,,,5.0,91.0,24.0,20.0,Good
West Bengal,Montiviot Tea Garden,15.2,21.7,,,,6.0,74.0,24.0,26.0,Good
West Bengal,Darjeeling,11.6,16.6,,,,7.0,87.0,20.0,20.0,Good
Sikkim,Namchi,11.6,16.6,,,,7.0,81.0,24.0,20.0,Good
West Bengal,Mirik,15.2,21.7,,,,5.0,79.0,23.0,26.0,Good
Sikkim,Majhitar,11.6,16.6,,,,7.0,85.0,28.0,20.0,Good
Sikkim,Gangtok,11.6,16.6,,,,5.0,86.0,24.0,20.0,Good
Sikkim,Singtam,11.6,16.6,,,,5.0,77.0,30.0,20.0,Good
West Bengal,Kalimpong,11.6,16.6,,,,8.0,71.0,30.0,20.0,Good
West Bengal,Rangpo Forest,11.6,16.6,,,,6.0,74.0,31.0,20.0,Good
West Bengal,Dakshin Odlabari,15.2,21.7,,,,6.0,52.0,33.0,26.0,Good
Tamil Nadu,Thuraiyur,4.8,7.3,,,,14.0,50.0,34.0,8.0,Good
Tamil Nadu,Ariyalur,6.5,9.6,,,,11.0,47.0,36.0,11.0,Good
Tamil Nadu,Thirukkattupalli,10.3,14.9,,,,18.0,39.0,36.0,18.0,Good
Tamil Nadu,Thathaiyangarpet,4.8,7.3,,,,14.0,53.0,34.0,8.0,Good
Tamil Nadu,Musiri,10.3,14.9,,,,20.0,46.0,34.0,18.0,Good
Tamil Nadu,Veeraganur,4.8,7.3,,,,22.0,44.0,34.0,8.0,Good
Tamil Nadu,Erumapatti,4.8,7.3,,,,10.0,57.0,33.0,8.0,Good
Tamil Nadu,Pullambadi,10.3,14.9,,,,17.0,39.0,36.0,18.0,Good
Tamil Nadu,Lalgudi,10.3,14.9,,,,19.0,39.0,39.0,18.0,Good
Tamil Nadu,Tiruchirappalli,10.3,14.9,,,,19.0,39.0,39.0,18.0,Good
Tamil Nadu,Mettupalayam,4.8,7.3,,,,12.0,55.0,33.0,8.0,Good
Telangana,Bhuvanagiri,8.1,5.5,,,,21.0,61.0,31.0,14.0,Good
Telangana,Kottapalli,10.7,4.6,,,,16.0,63.0,31.0,18.0,Good
Telangana,Gudur,8.1,5.5,,,,20.0,62.0,31.0,14.0,Good
Telangana,Jangaon,3.4,4.8,,,,19.0,63.0,30.0,6.0,Good
Telangana,Siddipet,7.4,5.6,,,,19.0,64.0,30.0,13.0,Good
Telangana,Peddapalli,10.7,4.6,,,,14.0,62.0,31.0,18.0,Good
Telangana,Vemulawada,7.4,5.6,,,,18.0,67.0,30.0,13.0,Good
Telangana,Karimnagar,10.7,4.6,,,,17.0,62.0,30.0,18.0,Good
Telangana,Narsingi,7.4,5.6,,,,19.0,68.0,29.0,13.0,Good
Telangana,Warangal,3.4,4.8,,,,6.0,67.0,30.0,6.0,Good
Telangana,Sircilla,7.4,5.6,,,,18.0,67.0,30.0,13.0,Good
Tripura,Khowai,4.0,5.8,,,,7.0,83.0,30.0,7.0,Good
India,Kailashahar,5.8,8.3,,,,5.0,69.0,32.0,10.0,Good
India,Kailashahar,5.8,8.3,,,,5.0,69.0,32.0,10.0,Good
Tripura,Ambassa,4.9,7.2,,,,4.0,93.0,29.0,9.0,Good
Tripura,Dharmanagar,5.8,8.3,,,,4.0,82.0,31.0,10.0,Good
Tripura,Ranirbazar,4.9,7.2,,,,11.0,59.0,35.0,9.0,Good
Tripura,Udaipur,4.9,7.2,,,,8.0,77.0,31.0,9.0,Good
Tripura,Amarpur,4.9,7.2,,,,6.0,83.0,30.0,9.0,Good
Tripura,Kamalpur,4.0,5.8,,,,6.0,73.0,31.0,7.0,Good
Uttar Pradesh,Itaunja,14.7,21.0,,,,23.0,58.0,33.0,25.0,Good
Uttar Pradesh,Kakori,15.8,22.6,,,,26.0,74.0,32.0,27.0,Good
Uttar Pradesh,Gosainganj,18.6,26.5,,,,15.0,65.0,32.0,32.0,Good
